,img,artist,counter
43,//upload.wikimedia.org/wikipedia/commons/thumb/9/90/Ke%24ha_performing_live_in_Echo.JPG/220px-Ke%24ha_performing_live_in_Echo.JPG,Kesha,
44,//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/John_Legend_performing_in_Pennsylvania.jpg/170px-John_Legend_performing_in_Pennsylvania.jpg,John Legend,
45,//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Onerepublic.jpg/220px-Onerepublic.jpg,OneRepublic,
46,//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Justin_Bieber_2.png/220px-Justin_Bieber_2.png,Justin Bieber,
47,//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Kygo_Life_AS_Logo.jpg/220px-Kygo_Life_AS_Logo.jpg,Kygo,
48,//upload.wikimedia.org/wikipedia/commons/thumb/0/04/G-Eazy_2013.png/220px-G-Eazy_2013.png,G-Eazy,
49,//upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Camila_Cabello_at_the_93.3_FLZ_Jingle_Ball_Tampa_Florida_2013_%283%29.jpg/170px-Camila_Cabello_at_the_93.3_FLZ_Jingle_Ball_Tampa_Florida_2013_%283%29.jpg,Camila Cabello,
50,//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Zedd_Logo.png/220px-Zedd_Logo.png,Zedd,
51,//upload.wikimedia.org/wikipedia/commons/thumb/0/00/Passengers_on_a_Boat.JPG/220px-Passengers_on_a_Boat.JPG,Passenger,
52,//upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Mikeposnerr.jpg/170px-Mikeposnerr.jpg,Mike Posner,
53,//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/PHARRELL_WILLIAMS_by_foto_di_matti.jpg/170px-PHARRELL_WILLIAMS_by_foto_di_matti.jpg,Pharrell Williams,
54,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/HaileeSteinfeldSept10_%28cropped%29.jpg/170px-HaileeSteinfeldSept10_%28cropped%29.jpg,Hailee Steinfeld,
55,//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/DaddyYankee.jpg/220px-DaddyYankee.jpg,Daddy Yankee,
56,//upload.wikimedia.org/wikipedia/commons/thumb/0/08/MinajHammersteinBallroomNYC.jpg/170px-MinajHammersteinBallroomNYC.jpg,Nicki Minaj,
57,,Mr. Probz,
58,,Disclosure,
59,//upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Little_mixx.jpg/220px-Little_mixx.jpg,Little Mix,
60,//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Marshmello_%40_VELD_2016.jpg/275px-Marshmello_%40_VELD_2016.jpg,Marshmello,
61,//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Christina_Perri.jpg/170px-Christina_Perri.jpg,Christina Perri,
62,//upload.wikimedia.org/wikipedia/commons/thumb/4/40/Eight_Mile_Road.jpg/220px-Eight_Mile_Road.jpg,Eminem,
63,//upload.wikimedia.org/wikipedia/commons/thumb/6/65/A_Great_Big_World_Performing_Live_2_%28cropped%29.jpg/220px-A_Great_Big_World_Performing_Live_2_%28cropped%29.jpg,A Great Big World,
64,//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Bastille_reconstruction_1420.jpg/300px-Bastille_reconstruction_1420.jpg,Bastille,
